Month,Day,Hour,Minute,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Average Unmet Heating Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,1,0,1.0,0,23.406394030381684,1.0380504140627167,3.4063940303816835,33.68172445350142,0.08128271442028179,0.9834141905474911,0.0,0.0
1,1,2,0,1.0,0,22.738427142886195,1.7060173015582052,2.738427142886195,34.969471507437945,0.06832906544867937,1.318819815775,0.0,0.0
1,1,3,0,1.0,0,22.257154410821236,2.1872900336231638,2.2571544108212365,36.01287385528786,0.05637604231232043,1.318819815775,0.0,0.0
1,1,4,0,1.0,0,21.8145135645875,2.6299308798569,1.8145135645875001,36.97608531368117,0.05538189199408412,1.318819815775,0.0,0.0
1,1,5,0,1.0,0,21.33038330503308,5.891838917189119,1.3303833050330809,38.023014923479224,0.0607036378993872,1.318819815775,0.0,0.0
1,1,6,0,1.0,0,21.123715231098625,6.098506991123575,1.1237152310986254,38.472022864632294,0.09052960615130472,1.318819815775,0.0,0.0
1,1,7,0,1.0,0,21.0049137568094,6.217308465412799,1.004913756809401,38.75349784425403,0.18742588609665034,1.318819815775,0.0,0.0
1,1,8,0,1.0,0,21.585623840555456,5.636598381666744,1.5856238405554564,37.56916237450382,0.22536620578608973,1.318819815775,0.0,0.0
1,1,9,0,1.0,0,21.635033796551276,5.587188425670924,1.6350337965512765,37.732856579014026,0.6448337805017562,1.318819815775,0.0,0.0
1,1,10,0,1.0,0,21.516795742678227,5.7054264795439735,1.5167957426782266,38.143549008170794,0.23883325841468148,1.318819815775,0.0,0.0
1,1,11,0,1.0,0,22.21212355308508,5.010098669137122,2.2121235530850782,36.69829424264196,0.22466145310394253,1.318819815775,0.0,0.0
1,1,12,0,1.0,0,23.809482287559653,3.4127399346625467,3.8094822875596535,33.45802738051199,0.23347871344933324,1.318819815775,0.0,0.0
1,1,13,0,1.0,0,24.444360693269353,8.37511750475528e-05,4.444360693269353,32.05631697439529,0.24386556125439768,1.318819815775,1.3216445993969996,0.0
1,1,14,0,1.0,0,24.44446901567177,2.457122737098416e-05,4.444469015671771,31.752768258794383,0.22466141671991013,1.318819815775,2.5318741304376515,0.0
1,1,15,0,1.0,0,24.444476950227376,3.250578297553375e-05,4.444476950227376,31.402106662904572,0.24457862459813318,1.318819815775,3.3928257078014976,0.0
1,1,16,0,1.0,0,24.44447580623377,3.136178936813394e-05,4.444475806233768,31.075042330589802,0.31198963594702517,1.318819815775,3.45539211260547,0.0
1,1,17,0,1.0,0,24.444466708175007,2.2263730606653098e-05,4.444466708175007,30.86615769819597,0.3417811210442322,1.318819815775,2.8737581140899247,0.0
1,1,18,0,1.0,0,24.44445767450953,1.3230065128766455e-05,4.444457674509529,30.934835224129788,0.4894287941266845,1.318819815775,3.0538124327690888,0.0
1,1,19,0,1.0,0,24.444453293532376,8.849087976159353e-06,4.444453293532376,31.208977167953698,0.48033797878824774,1.318819815775,3.2525284500192635,0.0
1,1,20,0,1.0,0,24.444454626475782,1.018203138158924e-05,4.444454626475782,31.485218166087122,0.4091864921392201,1.318819815775,2.3335811063471636,0.0
1,1,21,0,1.0,0,24.444448588740666,4.144296266161973e-06,4.444448588740666,31.813128990888607,0.3110538703549654,1.318819815775,2.302867459838024,0.0
1,1,22,0,1.0,0,24.444452347212433,7.902768032863605e-06,4.444452347212433,32.05591713483541,0.2371680281766832,1.318819815775,1.7892131713318669,0.0
1,1,23,0,1.0,0,24.444448156819515,3.712375114872657e-06,4.444448156819515,32.138671717185005,0.1999018500534405,1.318819815775,0.5334401847092722,0.0
1,1,24,0,1.0,0,24.13125459332225,0.31318985112215003,4.13125459332225,32.680750270974656,0.11923079984511026,1.318819815775,0.0,0.0
1,2,1,0,2.0,0,23.408810272364995,1.035634172079405,3.4088102723649953,34.01573096721766,0.08128271442028179,1.318819815775,0.0,0.0
1,2,2,0,2.0,0,22.639079770465006,1.805364673979394,2.639079770465006,35.43534884665965,0.06832906544867937,1.318819815775,0.0,0.0
1,2,3,0,2.0,0,22.157965945724328,2.286478498720072,2.157965945724328,36.2589566156515,0.05637604231232043,1.318819815775,0.0,0.0
1,2,4,0,2.0,0,21.591399876493565,2.8530445679508354,1.5913998764935648,37.284212793235085,0.05538189199408412,1.318819815775,0.0,0.0
1,2,5,0,2.0,0,20.86941560796579,6.352806614256409,0.8694156079657915,38.70073904447325,0.0607036378993872,1.318819815775,0.0,0.0
1,2,6,0,2.0,0,20.498817589604798,6.723404632617402,0.4988175896047977,39.36906117799019,0.09052960615130472,1.318819815775,0.0,0.0
1,2,7,0,2.0,0,20.128094998999863,7.094127223222337,0.1280949989998632,40.085615560259015,0.18742588609665034,1.318819815775,0.0,0.020935692740822562
1,2,8,0,2.0,0,20.37596243223863,6.84625978998357,0.37596243223863013,39.40726410998458,0.22536620578608973,1.318819815775,0.0,0.0
