Month,Day,Hour,Minute,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Average Unmet Heating Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,1,0,1.0,0,26.04153617597087,0.625130490695831,4.930425064859769,32.08905133242367,0.08542308035645912,1.2618933734537718,0.0,0.0
1,1,2,0,1.0,0,25.585134753988125,1.0815319126785745,7.807356976210325,32.777805447552524,0.07239893492074308,1.3682317539907467,0.0,0.0
1,1,3,0,1.0,0,25.227997146660172,1.4386695200065276,7.450219368882372,33.39795814477833,0.058711752946629336,1.4962467130899846,0.0,0.0
1,1,4,0,1.0,0,24.409848852515964,2.256817814150736,6.632071074738164,34.90206148705044,0.08022010826332554,1.192878725810292,0.0,0.0
1,1,5,0,1.0,0,24.250282946603637,2.416383720063063,6.472505168825837,35.00293162312183,0.07224697409195951,1.4040146442742718,0.0,0.0
1,1,6,0,1.0,0,24.14346666105718,2.523200005609521,6.365688883279379,35.10677673750251,0.09697400012135696,1.1817955618426021,0.0,0.0
1,1,7,0,1.0,0,24.30314044236203,2.363526224304671,6.525362664584229,34.75405872635799,0.17958585890669124,1.8631323217896711,0.0,0.0
1,1,8,0,1.0,0,24.711298783327685,1.9553678833390151,6.933521005549885,34.04513772267684,0.24228904438068893,3.138029459690043,0.0,0.0
1,1,9,0,1.0,0,24.74500189025501,1.9216647764116885,6.967224112477211,34.109498119227815,0.622976399710298,1.5433632455340727,0.0,0.0
1,1,10,0,1.0,0,24.677093549037615,1.9895731176290852,6.899315771259815,34.274250751558185,0.2667137907456595,4.9621393019186995,0.0,0.0
1,1,11,0,1.0,0,24.997890020243176,1.6687766464235239,3.886778909132076,33.62919020216124,0.2491251871001688,0.7605287735280799,0.0,0.0
1,1,12,0,1.0,0,25.437320469425774,1.2293461972409254,4.326209358314674,32.786435696927185,0.2624465834109564,1.0944674177209024,0.0,0.0
1,1,13,0,1.0,0,25.88878620335273,0.77788046331397,8.11100842557493,31.885178105799625,0.2767785788692706,1.9565684756888009,0.0,0.0
1,1,14,0,1.0,0,26.329753393216425,0.3369132734502749,8.551975615438625,31.059383228191503,0.2513395111759642,1.0898735207659966,0.0,0.0
1,1,15,0,1.0,0,26.66522650611688,0.0014401605498193248,8.88744872833908,30.43885774589892,0.27749584543639183,2.008272246487576,0.3039891912891999,0.0
1,1,16,0,1.0,0,26.666671300420138,4.6337534378437795e-06,8.888893522642338,30.379102379804316,0.3282003025825092,1.5389099761471823,0.493452970904822,0.0
1,1,17,0,1.0,0,26.666671537752418,4.87108571789463e-06,8.888893759974618,30.304989066832142,0.41724030484954955,2.4410000964656646,0.6734024260019662,0.0
1,1,18,0,1.0,0,26.666669563998063,2.89733136327186e-06,8.888891786220263,30.438305505456583,0.5830113638941103,2.013069095503548,1.488328356630364,0.0
1,1,19,0,1.0,0,26.666666653203922,1.3462777559425376e-08,8.888888875426122,30.806092924500767,0.5479892390912285,4.002278214596101,1.9201083972320592,0.0
1,1,20,0,1.0,0,26.666670707917334,4.041250633690652e-06,8.888892930139534,31.16892068276389,0.4220732615991645,2.839148955650094,1.699461772388444,0.0
1,1,21,0,1.0,0,26.66666857044422,1.903777519629557e-06,5.555557459333119,31.486713161219086,0.3245451410751778,2.911754725176605,1.519311422523373,0.0
1,1,22,0,1.0,0,26.66666905638438,2.389717678852321e-06,5.555557945273279,31.76273598390838,0.25220947899236706,3.627205241109348,1.2514006744864146,0.0
1,1,23,0,1.0,0,26.666669483161847,2.8164951473286237e-06,5.555558372050747,31.87892927791855,0.20972666989369465,2.1191890693117053,0.5236432271487538,0.0
1,1,24,0,1.0,0,26.549347150620054,0.11731951604664559,5.438236039508954,32.037731242566295,0.12581507528583075,1.9606196826766753,0.0,0.0
1,2,1,0,2.0,0,26.01657136933722,0.6500952973294787,4.905460258226121,32.84194520472782,0.08542308035645912,1.5110553430222973,0.0,0.0
1,2,2,0,2.0,0,25.44859104920134,1.2180756174653595,7.67081327142354,33.6652966619835,0.07239893492074308,1.4963513246455822,0.0,0.0
1,2,3,0,2.0,0,25.075314014451564,1.5913526522151358,7.297536236673764,34.09347008813825,0.058711752946629336,1.1224828163368015,0.0,0.0
1,2,4,0,2.0,0,24.128779392491243,2.537887274175457,6.351001614713443,35.674804171122666,0.08022010826332554,1.4923455165866668,0.0,0.0
1,2,5,0,2.0,0,23.766405749310373,2.900260917356327,5.988627971532573,35.96765081749123,0.07224697409195951,1.1083787647315086,0.0,0.0
1,2,6,0,2.0,0,23.53422737590782,3.132439290758878,5.756449598130022,36.15799780178561,0.09697400012135696,1.4925892698849381,0.0,0.0
1,2,7,0,2.0,0,23.536930046504615,3.1297366201620846,5.759152268726815,35.957831030992594,0.17958585890669124,1.5281980854271708,0.0,0.0
1,2,8,0,2.0,0,23.64426700296675,3.02239966369995,5.86648922518895,35.63554317756963,0.24228904438068893,2.472759248888187,0.0,0.0
1,2,9,0,2.0,0,23.580823722729082,3.0858429439376174,5.803045944951283,35.73621297100306,0.2590255429452827,1.1124596044251323,0.0,0.0
