Month,Day,Hour,Minute,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Average Unmet Heating Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,1,0,1.0,0,22.94575757851361,0.3875757548196894,0.7235353562914106,39.970283401724785,0.27626917357184216,1.123539332197842,0.0,0.0
1,1,2,0,1.0,0,22.677956159359248,0.6553771739740526,0.45573393713704746,40.590688249049016,0.18546364628941153,1.318819815775,0.0,0.0
1,1,3,0,1.0,0,22.246471101400708,1.0868622319325922,0.02424887917850782,41.6781438960543,0.1569342914939537,1.318819815775,0.0,0.25622936607008706
1,1,4,0,1.0,0,22.222222222241932,2.2222222222024683,1.9731771772057982e-11,41.71181591806662,0.14093847075242902,1.318819815775,0.0,0.15495862495219445
1,1,5,0,1.0,0,22.2222222222222,2.2222222222222,0.0,41.753691111121995,0.14761417178646422,1.318819815775,0.0,0.4611968136531832
1,1,6,0,1.0,0,22.2222222222222,2.2222222222222,0.0,41.822686435295296,0.3285836236697804,1.318819815775,0.0,0.46634634223185456
1,1,7,0,1.0,0,22.227624927767934,2.216819516676466,0.005402705545733966,42.013927969838605,0.7237664554641693,1.318819815775,0.0,0.042946053491852584
1,1,8,0,1.0,0,22.805011235044567,1.639433209399833,0.5827890128223672,40.971760668339,0.925595045920107,1.318819815775,0.0,0.0
1,1,9,0,1.0,0,23.524233847297083,0.9202105971473173,1.3020116250748828,39.53771545624828,0.9844840637634619,1.318819815775,0.0,0.0
1,1,10,0,1.0,0,24.319955608059875,0.12448883638452557,2.0977333858376745,37.75555228282302,1.0120658401568559,1.318819815775,0.06233186805511559,0.0
1,1,11,0,1.0,0,24.44444552198823,1.0775438283872063e-06,2.2222232997660285,37.2443850091114,0.9766310924658069,1.318819815775,0.3469054316360098,0.0
1,1,12,0,1.0,0,24.44444555894982,1.1145054195083048e-06,2.2222233367276196,36.90491030234202,0.9793230310127515,1.318819815775,0.36468264104223874,0.0
1,1,13,0,1.0,0,24.44444884176289,4.397318488003066e-06,2.222226619540688,36.5064798127209,0.9541078264523182,1.318819815775,1.0732542285550655,0.0
1,1,14,0,1.0,0,24.44444992590615,5.48146174850217e-06,2.2222277036839486,36.202134633488704,0.9206752696107985,1.318819815775,1.184876763665941,0.0
1,1,15,0,1.0,0,24.444464926746235,2.048230183504529e-05,2.222242704524035,35.7724814439218,0.9519618311566056,1.318819815775,2.0679199316096475,0.0
1,1,16,0,1.0,0,24.444464951920914,2.0507476513387246e-05,2.2222427296987135,35.328820385721144,1.004809332403745,1.318819815775,1.9671047944286657,0.0
1,1,17,0,1.0,0,24.44446399816944,1.955372503914532e-05,2.2222417759472393,35.08340683422296,1.2926142871147817,1.318819815775,1.852837237890607,0.0
1,1,18,0,1.0,0,24.44445250420368,8.059759281309198e-06,2.2222302819814814,35.20797175950034,1.7518265137711038,1.318819815775,2.2913081822041894,0.0
1,1,19,0,1.0,0,23.341946281112243,0.008612947778942726,1.1197240588900428,37.786470627400256,2.0254675211514814,1.318819815775,3.887007217098453,0.0
1,1,20,0,1.0,0,23.333325684026725,7.649306574819548e-06,1.1111034618045252,38.119358664871044,1.948031501249233,1.318819815775,3.0232819457273443,0.0
1,1,21,0,1.0,0,23.333323774321308,9.559011992621436e-06,1.1111015520991074,38.5697387802489,1.5990484240495841,1.318819815775,2.6740834145057115,0.0
1,1,22,0,1.0,0,23.333336839712416,3.5063791159473112e-06,1.111114617490216,38.82474907980114,1.2145244464890004,1.318819815775,2.43197023976759,0.0
1,1,23,0,1.0,0,23.333335439682504,2.1063492035011677e-06,1.1111132174603036,38.93222891311382,1.0443904552559358,1.318819815775,1.3000627961262416,0.0
1,1,24,0,1.0,0,23.333334775930513,1.44259721324147e-06,1.1111125537083133,38.95394183891311,0.5117611498907563,1.318819815775,0.2845338059707446,0.0
1,2,1,0,2.0,0,23.191844133970825,0.14148919936247495,0.9696219117486251,39.27671752491323,0.27626917357184216,1.318819815775,0.0,0.0
1,2,2,0,2.0,0,22.779046189685914,0.554287143647386,0.5568239674637141,40.266385965016035,0.18546364628941153,1.318819815775,0.0,0.0
1,2,3,0,2.0,0,22.265815867569117,1.0675174657641833,0.04359364534691679,41.333631597845375,0.1569342914939537,1.318819815775,0.0,0.1863829871018479
1,2,4,0,2.0,0,22.222222222235715,2.2222222222086856,1.3514522834157106e-11,41.20821091476866,0.14093847075242902,1.318819815775,0.0,0.24047637577976094
1,2,5,0,2.0,0,22.2222222222222,2.2222222222222,0.0,41.10394530778912,0.14761417178646422,1.318819815775,0.0,0.7992639422085521
1,2,6,0,2.0,0,22.2222222222222,2.2222222222222,0.0,41.030901714185156,0.3285836236697804,1.318819815775,0.0,0.9035842249105135
1,2,7,0,2.0,0,22.2222222222222,2.2222222222222,0.0,41.07465792615792,0.7237664554641693,1.318819815775,0.0,0.6876357890618656
1,2,8,0,2.0,0,22.228585107498354,2.215859336946046,0.006362885276153918,41.19102348409053,0.925595045920107,1.318819815775,0.0,0.1468750310291307
1,2,9,0,2.0,0,22.91194477202573,1.5324996724186697,0.6897225498035304,39.690948236199496,0.9844840637634619,1.318819815775,0.0,0.0
1,2,10,0,2.0,0,24.323939739921418,0.12050470452298256,2.1017175176992176,36.50739683955947,1.0120658401568559,1.318819815775,0.4028713259764654,0.0
1,2,11,0,2.0,0,24.444446082734153,1.6382897527478235e-06,2.222223860511953,36.19825961946482,0.9766310924658069,1.318819815775,1.1299871134657686,0.0
1,2,12,0,2.0,0,24.44444471049542,2.6605102121379787e-07,2.2222224882732213,36.07428416669608,0.9793230310127515,1.318819815775,0.1434698488825843,0.0
1,2,13,0,2.0,0,24.44444568850264,1.2440582395356614e-06,2.2222234662804397,35.98037431909421,0.9541078264523182,1.318819815775,0.8825859002322924,0.0
1,2,14,0,2.0,0,24.44444654621879,2.101774388307831e-06,2.2222243239965884,36.033233512190364,0.9206752696107985,1.318819815775,1.174322727099225,0.0
1,2,15,0,2.0,0,24.444450099494475,5.655050074437895e-06,2.2222278772722746,36.170412641935734,0.9519618311566056,1.318819815775,1.8081240315979048,0.0
1,2,16,0,2.0,0,24.44445222710357,7.782659171340356e-06,2.2222300048813715,36.3422708420202,1.004809332403745,1.318819815775,2.3959172690902752,0.0
1,2,17,0,2.0,0,24.444443064163284,1.3802811160701367e-06,2.222220841941084,36.553108572705575,1.2926142871147817,1.318819815775,2.5927034335968484,0.0
1,2,18,0,2.0,0,24.44444214361092,2.300833479296216e-06,2.222219921388721,36.92597777274615,1.7518265137711038,1.318819815775,2.9954528723860725,0.0
1,2,19,0,2.0,0,23.34256100968212,0.00922767634882149,1.1203387874599215,39.9215542477278,2.0254675211514814,1.318819815775,3.7716223606494945,0.0
