Month,Day,Hour,Minute,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Average Unmet Heating Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,1,0,1.0,0,24.1666666666666,0.0,0.0,28.772837620095352,0.2002996779766114,0.0,0.0,1.050748128497271
1,1,2,0,1.0,0,24.166666666666597,3.552713678800501e-15,3.552713678800501e-15,28.827844212663138,0.19930552765837517,0.0,0.0,1.194068880403367
1,1,3,0,1.0,0,24.1666666666666,0.0,0.0,28.989640334389225,0.19831137734013876,0.0,0.0,1.2658600835092593
1,1,4,0,1.0,0,24.1666666666666,0.0,0.0,29.130606214854655,0.20388133743611814,0.0,0.0,1.386246535776834
1,1,5,0,1.0,0,24.1666666666666,0.0,0.0,29.22830029103978,0.22914362877474503,0.0,0.0,1.5192008765542104
1,1,6,0,1.0,0,24.1666666666666,0.0,0.0,29.306056654089073,0.27509240167425575,0.0,0.0,1.5860791739298057
1,1,7,0,1.0,0,24.1666666666666,0.0,0.0,29.35825180356194,0.3787057309976882,0.43856722870523396,0.0,1.4220649446290436
1,1,8,0,1.0,0,24.1666666666666,0.0,0.0,29.40120597402041,0.5355973934332837,1.1644798190636256,0.0,1.0144868579220676
1,1,9,0,1.0,0,24.1666666666666,0.0,0.0,29.479329915835123,0.8007616123101067,0.23958156499652067,0.0,1.2176590557673785
1,1,10,0,1.0,0,24.166666211972714,4.5469388609831185e-07,4.5469388609831185e-07,29.41106480048115,3.2746779498119096,0.21681793050951997,0.0,1.255587160241866
1,1,11,0,1.0,0,24.166666734100072,6.74334721395553e-08,6.74334721395553e-08,29.41893010529561,4.283435945521051,0.8009000719327262,0.0,0.8801204276525111
1,1,12,0,1.0,0,24.166665822829557,8.438370393548666e-07,8.438370393548666e-07,29.34477219395309,1.0285903964569776,1.1014671117251082,0.0,0.5254517452882883
1,1,13,0,1.0,0,24.16666594678028,7.198863194446403e-07,7.198863194446403e-07,29.24944743387676,1.6613621919708927,0.8874737395237704,0.0,0.21760066031079986
1,1,14,0,1.0,0,24.166665545586493,1.1210801069694298e-06,1.1210801069694298e-06,29.36066167027085,0.9058002980043776,1.318819815775,0.0,0.22292545680638204
1,1,15,0,1.0,0,24.159699836474907,0.006966830191693418,0.006966830191693418,29.162898582361358,0.7898870016679622,0.6988837270486464,0.05243041468761112,0.0
1,1,16,0,1.0,0,24.166668291188884,1.6245222838051632e-06,1.6245222838051632e-06,29.039491693679818,0.6686701478717436,1.318819815775,0.06727205648874861,0.0
1,1,17,0,1.0,0,24.168598817846622,0.0019321511800214353,0.0019321511800214353,28.858605834629355,0.4917203898308318,1.197649281209663,0.021791025986294697,0.0
1,1,18,0,1.0,0,24.16462787223789,0.0020387944287065807,0.0020387944287065807,28.77984448980243,0.542999637884563,0.7744172808950386,0.0,0.010473591125699386
1,1,19,0,1.0,0,24.16666719915583,5.324892349278798e-07,5.324892349278798e-07,29.085158784638715,0.9811560760456987,0.6533601014402233,0.13278964509491015,0.0
1,1,20,0,1.0,0,24.167376933568605,0.000710266902004264,0.000710266902004264,29.186286066194647,0.529631762900022,1.2312831055155269,0.0,0.0145015614806404
1,1,21,0,1.0,0,24.16666645242281,2.1424379070822397e-07,2.1424379070822397e-07,29.15845734050591,0.5108960149276087,0.6981335399079184,0.0,0.808797421304233
1,1,22,0,1.0,0,24.166667217777828,5.511112277645225e-07,5.511112277645225e-07,29.083412712439525,0.45084257249556575,0.0,0.0,0.4514547349478712
1,1,23,0,1.0,0,24.16666666675734,9.07398600702436e-11,9.07398600702436e-11,29.149981729365344,0.2708580004952413,0.4898965709049437,0.0,0.600822570019117
1,1,24,0,1.0,0,24.1666666666666,0.0,0.0,29.183966821848568,0.23453140100873832,0.0,0.0,0.8412169632786581
1,2,1,0,2.0,0,24.1666666666666,0.0,0.0,29.216205430700132,0.22416630582106561,0.0,0.0,0.9221361545025557
1,2,2,0,2.0,0,24.1666666666666,0.0,0.0,29.248433204285227,0.19930552765837517,0.0,0.0,1.08297009419814
1,2,3,0,2.0,0,24.1666666666666,0.0,0.0,29.268303223330363,0.19831137734013876,0.0,0.0,1.1780339728680456
1,2,4,0,2.0,0,24.166666666666604,3.552713678800501e-15,3.552713678800501e-15,29.271758679928674,0.20388133743611814,0.0,0.0,1.323231047178142
1,2,5,0,2.0,0,24.1666666666666,0.0,0.0,29.26425378914361,0.23993302207043815,0.0,0.0,1.4850108654869354
1,2,6,0,2.0,0,24.1666666666666,0.0,0.0,29.256417717806436,0.29639420712048703,0.0,0.0,1.5953518479131608
1,2,7,0,2.0,0,24.1666666666666,0.0,0.0,29.259727600437266,0.4277387545486654,0.45273024937425904,0.0,1.3399977630602358
