Month,Day,Hour,Minute,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Average Unmet Heating Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,1,0,1.0,0,21.1111111111111,2.7777777777778,0.0,27.293925060214587,0.21405057718335974,0.0,0.0,1.4340950057065938
1,1,2,0,1.0,0,21.1111111111111,2.7777777777778,0.0,27.34680851827531,0.20555559165347925,0.0,0.0,1.9277422784514038
1,1,3,0,1.0,0,21.111111111111104,2.7777777777777963,3.552713678800501e-15,27.511163138869854,0.2045614413352429,0.33363470217406577,0.0,2.1542063937311484
1,1,4,0,1.0,0,21.111111111111097,2.7777777777778034,3.552713678800501e-15,27.62950713329575,0.20886303114176608,0.0,0.0,2.393033328979114
1,1,5,0,1.0,0,21.1111111111111,2.7777777777778,0.0,27.760848540608247,0.229051841322568,0.0,0.0,2.583844502416536
1,1,6,0,1.0,0,21.1111111111111,2.7777777777778,0.0,27.81763374401975,0.26612202219588504,0.333637991407062,0.0,2.8133166368879774
1,1,7,0,1.0,0,21.1111111111111,2.7777777777778,0.0,27.81169640412309,0.3263634642047127,0.0,0.0,3.00944071913412
1,1,8,0,1.0,0,21.1111111111111,2.7777777777778,0.0,27.802660698296183,0.42367508708685714,0.0,0.0,2.877909708556208
1,1,9,0,1.0,0,21.111110978287208,2.777777910601692,1.3282389232927017e-07,27.831173725590688,1.0729285743680785,0.33360418172196254,0.0,1.9575937452728494
1,1,10,0,1.0,0,21.111111164832458,2.777777724056442,5.372135802872435e-08,27.858780532084406,1.27550612186347,0.0,0.0,0.9709600147084696
1,1,11,0,1.0,0,21.167304007472598,2.7215848814163017,0.05619289636149816,27.829913499572086,1.2956074889392286,0.33363993628799266,0.0,0.14440887307877712
1,1,12,0,1.0,0,21.603882338461997,2.2850065504269033,0.4927712273508966,27.17642757480581,1.253000017243517,0.0,0.0,0.0
1,1,13,0,1.0,0,22.02375086036745,1.86513802852145,0.9126397492563498,26.543474972683534,1.2423242995082415,0.0,0.0,0.0
1,1,14,0,1.0,0,22.511661535099005,1.3772273537898947,1.4005504239879052,25.79811500991791,1.0818054374239292,0.3382487142379942,0.0,0.0
1,1,15,0,1.0,0,22.95175935641257,0.9371295324763302,1.8406482453014696,25.17759961009381,1.0001817046489136,0.33823676762678967,0.0,0.0
1,1,16,0,1.0,0,22.85418433656234,1.0347045523265592,1.7430732254512407,25.367887211473064,0.7284895848705152,0.0,0.0,0.0
1,1,17,0,1.0,0,22.524719260999937,1.3641696278889626,1.4136081498888373,25.848947573317997,0.3905815074864858,0.0,0.0,0.0
1,1,18,0,1.0,0,22.25764512853503,1.6312437603538683,1.1465340174239316,26.197276643887868,0.320417747012797,0.33832266159307184,0.0,0.0
1,1,19,0,1.0,0,21.709181896746202,2.179706992142698,0.5980707856351017,27.001384504279347,0.26944864640167404,0.33839609029865675,0.0,0.0
1,1,20,0,1.0,0,21.16657169390206,2.7223171949868394,0.055460582790960444,27.84537399383334,0.2634841507763364,0.0,0.0,0.19712496323408896
1,1,21,0,1.0,0,21.111110708677366,2.777778180211534,4.024337343366824e-07,27.904052362149493,0.44860978587350686,0.3336489475265235,0.0,0.6108343678298479
1,1,22,0,1.0,0,21.111110730509882,2.777778158379018,3.806012180973539e-07,27.840192208846894,0.94592937111349,0.0,0.0,0.669556679374412
1,1,23,0,1.0,0,21.111111111109217,2.777777777779683,1.8829382497642655e-12,27.722660516916278,0.6549725925435825,0.0,0.0,1.1839361863514477
