Month,Day,Hour,Minute,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Average Unmet Heating Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,1,0,1.0,0,22.2222222222222,2.2222222222222,0.0,25.891050278201664,0.20170488881434273,0.0,0.0,3.018452399014146
1,1,2,0,1.0,0,22.2222222222222,2.2222222222222,0.0,25.8996003022457,0.19978313036882483,0.0,0.0,3.515201178183523
1,1,3,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.014917902604232,0.22062031968726464,0.0,0.0,4.2147910190344575
1,1,4,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.100496729407066,0.20386785223780857,0.0,0.0,4.165233743443626
1,1,5,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.18705851104232,0.2333685861998955,0.0,0.0,4.314503020990909
1,1,6,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.2433393382788,0.27078033833151777,0.0,0.0,4.507858404465536
1,1,7,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.278675826033325,0.36191603159821406,0.23463802302514747,0.0,4.07665608891113
1,1,8,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.368784158286182,0.41989795232020627,0.7284363588566991,0.0,3.8499125789386146
1,1,9,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.479465647292788,0.4286521816161323,0.10064562240749987,0.0,3.668870202859657
1,1,10,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.547783920886232,0.42752841019745275,1.3043177209338075,0.0,2.13209034965213
1,1,11,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.66077374458184,0.42197976513758917,1.318819815775,0.0,1.4554586918360775
1,1,12,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.71798837911895,0.27800553190859345,0.36982399734844235,0.0,1.2347677928020622
1,1,13,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.68882588521248,0.21116866530417078,0.0,0.0,0.3668399179715152
1,1,14,0,1.0,0,22.51059104385076,1.933853400593641,0.28836882162855915,26.2103825998841,0.20400975293122697,0.0,0.0,0.0
1,1,15,0,1.0,0,23.315819917701567,1.1286245267428328,1.0935976954793674,24.957059833725758,0.20426619506025223,0.0,0.0,0.0
1,1,16,0,1.0,0,23.844934410473947,0.5995100339704535,1.6227121882517466,24.16274492534095,0.20268635945343466,0.4010807544969173,0.0,0.0
1,1,17,0,1.0,0,23.842159043014846,0.6022854014295547,1.6199368207926454,24.146154886611896,0.2082806733706383,0.0,0.0,0.0
1,1,18,0,1.0,0,23.53298780942672,0.9114566350176787,1.3107655872045214,24.560733952857397,0.2955596831532472,0.0,0.0,0.0
1,1,19,0,1.0,0,22.951245390701356,1.4931990537430444,0.7290231684791557,25.424185983343275,0.41631093764447297,0.0,0.0,0.0
1,1,20,0,1.0,0,22.28599885827724,2.1584455861671614,0.0637766360550387,26.456763187442846,0.6549166536356543,0.0,0.0,0.16483696320577473
1,1,21,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.58899289170916,0.6411883677168078,0.0,0.0,0.7978875927634653
1,1,22,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.572268911376327,0.5717959421614709,0.0,0.0,1.3843810524744475
1,1,23,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.51547311640316,0.43721225725779667,0.0,0.0,2.042133339318598
1,1,24,0,1.0,0,22.2222222222222,2.2222222222222,0.0,26.443769935590893,0.20422501222758624,0.0,0.0,2.7005904550100768
1,2,1,0,2.0,0,22.2222222222222,2.2222222222222,0.0,26.341680186129608,0.20170488881434273,0.4019634721889422,0.0,3.250574075952065
1,2,2,0,2.0,0,22.2222222222222,2.2222222222222,0.0,26.23112023614144,0.19978313036882483,0.0,0.0,3.6893603547959026
1,2,3,0,2.0,0,22.2222222222222,2.2222222222222,0.0,26.085930308411953,0.22062031968726464,0.0,0.0,4.317535601965079
1,2,4,0,2.0,0,22.2222222222222,2.2222222222222,0.0,25.926688355409496,0.20386785223780857,0.0,0.0,4.388700543674044
1,2,5,0,2.0,0,22.2222222222222,2.2222222222222,0.0,25.810959958778515,0.1944452585806465,0.0,0.0,4.778586542237043
1,2,6,0,2.0,0,22.2222222222222,2.2222222222222,0.0,25.690122392519665,0.19470170070967177,0.0,0.0,5.159141283476985
