Month,Day,Hour,Minute,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Average Unmet Heating Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh]
1,1,1,0,1.0,0,22.2222222222222,0.5555555555555998,0.0,26.382272396265115,0.4862690329729825,0.0,0.0,1.627168932369349
1,1,2,0,1.0,0,22.222222222222204,0.5555555555555962,3.552713678800501e-15,26.453616597322664,0.4841807146349372,0.2664166538429998,0.0,2.0500692510842047
1,1,3,0,1.0,0,22.2222222222222,0.5555555555555998,0.0,26.62389470726885,0.4820923962968919,0.2501316413768427,0.0,2.225271979151659
1,1,4,0,1.0,0,22.2222222222222,0.5555555555555998,0.0,26.733791417097116,0.48000407795884664,0.0,0.0,2.5036768216558394
1,1,5,0,1.0,0,22.2222222222222,0.5555555555555998,0.0,26.851527800999413,0.47791575962080135,0.2501209988601239,0.0,2.7346894346724366
1,1,6,0,1.0,0,22.222222222222197,1.6666666666667034,3.552713678800501e-15,26.851430875015616,0.4891670124382677,0.0,0.0,3.0244508226959823
1,1,7,0,1.0,0,22.2222222222222,1.6666666666666998,0.0,26.86285997548191,0.618815139454666,1.2545652131544067,0.0,2.243080616866493
1,1,8,0,1.0,0,22.2222222222222,1.6666666666666998,0.0,27.017915113089504,0.6691385385569497,1.2627073514639575,0.0,1.89790103590691
1,1,9,0,1.0,0,22.222219256391902,1.6666696324969976,2.9658302977964013e-06,26.955952843017894,0.4883573513110277,0.25013224271710344,0.0,2.6474845094613464
1,1,10,0,1.0,0,22.22221851629473,1.6666703725941687,3.705927468899972e-06,26.834846929919873,0.4883573513110277,0.0,0.0,2.257657566321251
1,1,11,0,1.0,0,22.222222108943427,1.6666667799454729,1.13278773028469e-07,26.789644967193365,0.4862690329729825,0.7995504891443755,0.0,1.3678754602738954
1,1,12,0,1.0,0,22.222222535505132,1.6666663533837678,3.132829320406927e-07,26.829684968914858,0.4862690329729825,0.0,0.0,0.6780889679952378
1,1,13,0,1.0,0,22.222222146051937,1.6666667428369628,7.617026298589735e-08,26.79368327303203,0.5129481752840055,0.2501329423560584,0.0,0.26618132082869034
1,1,14,0,1.0,0,22.709713250011077,1.1791756388778225,0.4874910277888773,25.96491869843112,0.4979465048607171,0.0,0.0,0.0
1,1,15,0,1.0,0,23.49635632099176,0.3925325678971383,1.2741340987695615,24.723960595397923,0.490445669649073,0.024191982397058522,0.0,0.0
1,1,16,0,1.0,0,23.666465715661488,0.222423173227412,1.4442434934392878,24.429685944956525,0.4883573513110277,0.22580410220754904,0.0,0.0
1,1,17,0,1.0,0,23.80799337790382,0.08089551098507997,1.5857711556816199,24.11663460435279,0.4946223063251636,0.0,0.01194766751673069,0.0
1,1,18,0,1.0,0,23.740560976291274,0.148327912597626,1.5183387540690738,24.05627478386672,0.5029755796773447,0.24996013084556273,0.00613390686227952,0.0
1,1,19,0,1.0,0,23.76882487110842,0.1200640177804786,1.5466026488862212,24.130616647313037,1.1085641283168377,0.0,0.1761102263201974,0.0
1,1,20,0,1.0,0,23.510878513443508,0.37801037544539184,1.288656291221308,24.750392323059735,1.1198975778537756,0.2500097538457971,0.0,0.0
1,1,21,0,1.0,0,22.684620989791657,0.09315678798614258,0.4623987675694572,26.080309288475632,1.0724732260601482,1.0389820376765504,0.4411463859525129,0.0
1,1,22,0,1.0,0,22.272277365409767,0.5055004123680327,0.0500551431875671,26.746847698739543,0.9996096502517837,0.0,0.0,0.04955337201047223
1,1,23,0,1.0,0,22.222222221522802,0.5555555562549976,6.99397872949703e-10,26.661991180435198,0.8435929081721248,1.1030199709465942,0.0,0.4930777419242568
1,1,24,0,1.0,0,22.2222222222222,0.5555555555555998,0.0,26.491923035997846,0.7235423896596384,0.2501253411914987,0.0,1.061142345884282
1,2,1,0,2.0,0,22.2222222222222,0.5555555555555998,0.0,26.256400323044,0.6690009794684515,0.6130792568960661,0.0,1.5618355178051688
1,2,2,0,2.0,0,22.2222222222222,0.5555555555555998,0.0,25.968169526543257,0.4841807146349372,0.25012276842031766,0.0,2.183281745067742
1,2,3,0,2.0,0,22.2222222222222,0.5555555555555998,0.0,25.675129771591624,0.4820923962968919,0.26642850225574033,0.0,2.380747036676211
1,2,4,0,2.0,0,22.2222222222222,0.5555555555555998,0.0,25.386188830461254,0.48000407795884664,0.28508699686597533,0.0,2.7275369342225178
1,2,5,0,2.0,0,22.2222222222222,0.5555555555555998,0.0,25.164131086804534,0.47791575962080135,0.8630856625801357,0.0,3.0990914269778806
1,2,6,0,2.0,0,22.2222222222222,1.6666666666666998,0.0,24.868120086531533,0.4891670124382677,0.0,0.0,3.5809228858198523
1,2,7,0,2.0,0,22.2222222222222,1.6666666666666998,0.0,24.584814764474537,0.48584281390271394,0.2501189109305889,0.0,3.7048774247276013
1,2,8,0,2.0,0,22.22221791967877,1.6666709692101307,4.302543430867445e-06,24.60572603574076,0.6691385385569496,1.64555717957286,0.0,2.7880893904249455
1,2,9,0,2.0,0,22.222219403063143,1.6666694858257571,2.8191590573101166e-06,24.40356053392187,0.4883573513110277,0.0,0.0,3.547135926870392
1,2,10,0,2.0,0,22.22221582727776,1.6666730616111387,6.394944438881112e-06,24.225753109030634,0.4883573513110277,0.25013856671415663,0.0,2.9759233124782094
1,2,11,0,2.0,0,22.222221413233346,1.6666674756555544,8.089888545725898e-07,24.044141895373233,0.4862690329729825,0.0,0.0,2.18879107456545
1,2,12,0,2.0,0,22.222221706353345,1.666667182535555,5.15868855188728e-07,23.91733454602882,0.4862690329729825,1.1724270980420646,0.0,1.2289731348318496
1,2,13,0,2.0,0,22.222221135547812,1.6666677533410876,1.0866743878068519e-06,23.748827535678657,0.5129481752840055,0.0,0.0,0.8694308752520583
1,2,14,0,2.0,0,22.251938678083654,1.6369502108052458,0.029716455861453994,23.604533099693647,0.4979465048607171,0.25012842078888586,0.0,0.0828368173094847
1,2,15,0,2.0,0,22.822986246681925,1.065902642206975,0.6007640244597248,22.76439513395,0.490445669649073,0.0,0.0,0.0
1,2,16,0,2.0,0,23.494480253309447,0.3944086355794525,1.2722580310872473,21.8102618277289,0.4883573513110277,0.0,0.0,0.0
1,2,17,0,2.0,0,23.87203348396923,0.016855404919670747,1.649811261747029,21.283369816965347,0.4946223063251636,0.24999475758238823,0.06495750110447382,0.0
1,2,18,0,2.0,0,23.843228609568197,0.04566027932070327,1.6210063873459966,21.287287378543844,0.5029755796773447,0.0,0.030672422261594723,0.0
1,2,19,0,2.0,0,23.45377611165288,0.4351127772360215,1.2315538894306783,21.736548435827736,0.5071522163534352,0.2500218869721892,0.0,0.0
1,2,20,0,2.0,0,22.735226908342334,1.1536619805465662,0.5130046861201336,22.634504389018893,0.5029755796773447,0.0,0.0,0.0
1,2,21,0,2.0,0,22.222230826363266,0.5555469514145344,8.604141065404747e-06,23.29286887585893,0.5008872613392994,0.25013482968318346,0.0,0.36775769563589195
1,2,22,0,2.0,0,22.222222222120447,0.555555555657353,1.0175327247452515e-10,23.28707169655989,0.6542492292753862,0.0,0.0,0.7952370081699582
1,2,23,0,2.0,0,22.222230941874756,0.5555468359030442,8.719652555555513e-06,23.964715744512517,1.0121153037433377,0.25013569782222267,0.0,0.6050577946600474
1,2,24,0,2.0,0,22.222222222498793,0.5555555552790068,2.765929707493342e-10,24.240604518273685,0.49330133755478595,0.0,0.0,1.6013563614239674
1,3,1,0,3.0,0,22.222222222222204,0.5555555555555962,3.552713678800501e-15,24.155626723105986,0.4862690329729825,0.2501250759024791,0.0,2.110898895487162
